doc_id,predicted_scores,human_scores,system_id,score_variance
dm-test-2feca9acf532e33f1ab7442c442c8e19787d8d7b,1.0,2.6666666666666665,M20,0.0
dm-test-3ba3bde4a1440134bb38ec22ba50db59986b544c,5.0,5.0,M12,0.0
cnn-test-c05bda9b387ec8ae43803170b6f59b4b82505db9,5.0,5.0,M2,0.0
dm-test-14c813567696f4e63a39993c09d4edb454036179,3.0,5.0,M9,0.0
cnn-test-e49792c337d3f4c13e22f710efa44cf6a4e59aba,1.0,1.3333333333333333,M11,0.0
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,5.0,5.0,M12,0.0
dm-test-8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,5.0,5.0,M2,0.0
dm-test-051db270afc32571a08c15124330efe89d80fea8,5.0,5.0,M10,0.0
dm-test-4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,1.0,4.333333333333333,M20,0.0
dm-test-3785743303ddb8b594be7c449a37458b99e83812,5.0,5.0,M0,0.0
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,5.0,5.0,M13,0.0
dm-test-23e8c1d71474d239aa9ae37b9a05031b0054b8ce,4.0,5.0,M13,0.0
dm-test-1749a22e2b6facaa057213cb9b33261b319bbd2b,5.0,5.0,M13,0.0
dm-test-a3b6201aca77b5bdaa5df02d6acee2be66233237,5.0,5.0,M8,0.0
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,3.0,5.0,M14,0.0
dm-test-6f027d030f9ca86446dc893f1d10ced4c9a3561f,5.0,5.0,M22,0.0
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,5.0,5.0,M5,0.0
dm-test-b255397ee863bd8faf9def57c0f76769153d905e,5.0,5.0,M13,0.0
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,5.0,5.0,M23,0.0
dm-test-8e6c8aec6808f66ed0342e128a4e146f3ecd627d,3.0,5.0,M10,0.0
dm-test-051db270afc32571a08c15124330efe89d80fea8,4.0,5.0,M17,0.0
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,5.0,5.0,M20,0.0
dm-test-a3b6201aca77b5bdaa5df02d6acee2be66233237,3.0,5.0,M15,0.0
dm-test-6c1341bedf92a304318545fbf1aad88651de7909,5.0,5.0,M2,0.0
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,3.0,5.0,M15,0.0
dm-test-e880fda4c25289f8325574246f0f8ed4ff5eb26b,3.0,5.0,M9,0.0
dm-test-54b857a66cbd8473d6732e5da52d48612e636a37,5.0,5.0,M5,0.0
dm-test-14c813567696f4e63a39993c09d4edb454036179,4.0,5.0,M1,0.0
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,3.0,5.0,M10,0.0
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,5.0,5.0,M23,0.0
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,5.0,5.0,M8,0.0
dm-test-97bbda7ec22a736cd174b51513c72a6372d13d35,5.0,5.0,M15,0.0
dm-test-0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,5.0,5.0,M14,0.0
dm-test-18243373494a1722ddcd162ec67b63dd749633ab,5.0,5.0,M0,0.0
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,5.0,5.0,M23,0.0
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,4.0,5.0,M15,0.0
